CATALIZZATORE   TIPO              SITO ATTIVO   POSIZIONE   CLASSE    
AAAAAAA         Cleavage          AA            1           R-B B-R   
AABA            Condensazione     AAB           1           R-B+BA-R  
BBABA           Condensazione     BBA           1           R-A+AB-R  
BABA            Condensazione     AB            1           R-B+A-R   
AABBAABB        Condensazione     BA            1           R-A+B-R   
AB              Cleavage          AB            1           R-B A-R   
ABB             Condensazione     BB            1           R-A+A-R   
BBABABA         Cleavage          BA            1           R-A B-R   
BABAB           Condensazione     BAB           2           R-AB+A-R  
BABABABA        Cleavage          BABA          2           R-AB AB-R 
BABABAA         Condensazione     BA            1           R-A+B-R   
BAABAB          Condensazione     ABA           1           R-B+AB-R  
BBAABAA         Cleavage          BA            1           R-A B-R   
AAA             Cleavage          AAA           2           R-BB B-R  
BBABAAA         Cleavage          BA            1           R-A B-R   
BBAAABBA        Cleavage          BA            1           R-A B-R   
AABAABAA        Condensazione     BAA           2           R-AB+B-R  
ABBABAA         Condensazione     ABBA          2           R-BA+AB-R 
ABBABAB         Condensazione     BABA          3           R-ABA+B-R 
BBABBAB         Cleavage          ABB           2           R-BA A-R  
ABAABABA        Cleavage          AB            1           R-B A-R   
ABABAAB         Condensazione     BAA           2           R-AB+B-R  
ABBAAABB        Cleavage          ABBA          3           R-BAA B-R 
AABBBB          Condensazione     BBB           2           R-AA+A-R  
ABBBBABA        Cleavage          BBAB          1           R-A ABA-R 
BABBBB          Condensazione     BABB          3           R-ABA+A-R 
AABABBBA        Cleavage          AAB           1           R-B BA-R  
BABABBBB        Condensazione     BBB           2           R-AA+A-R  
BBABBBBA        Condensazione     BBBA          1           R-A+AAB-R 
AAABBAB         Cleavage          AB            1           R-B A-R   
BAAABB          Cleavage          AA            1           R-B B-R   
ABAAA           Condensazione     ABA           1           R-B+AB-R  
ABBAAA          Condensazione     BAAA          2           R-AB+BB-R 
BABABAAA        Cleavage          BABA          2           R-AB AB-R 
ABABABBB        Condensazione     ABA           2           R-BA+B-R  
AAABABAB        Condensazione     AAA           2           R-BB+B-R  
AAABABBB        Condensazione     ABA           2           R-BA+B-R  
ABBBBAB         Cleavage          BBBB          1           R-A AAA-R 
BAAABBBB        Condensazione     BBB           1           R-A+AA-R  
BAAAABBB        Cleavage          AAAA          2           R-BB BB-R 
ABBBABBB        Condensazione     BBB           1           R-A+AA-R  
AAAAAABB        Cleavage          BB            1           R-A A-R   
BBBB            Condensazione     BB            1           R-A+A-R   
BBBBAAB         Condensazione     BB            1           R-A+A-R   
BBBBBAA         Cleavage          BBAA          3           R-AAB B-R 
ABBBBBAA        Cleavage          ABBB          2           R-BA AA-R 
BBBBBBA         Condensazione     BBBB          3           R-AAA+A-R 
BBBBBBB         Cleavage          BBBB          2           R-AA AA-R 
