CATALIZZATORE   TIPO              SITO ATTIVO   POSIZIONE   CLASSE    
BBBABA          Cleavage          BB            1           R-A A-R   
BA              Condensazione     BA            1           R-A+B-R   
AB              Condensazione     AB            1           R-B+A-R   
BABBAABB        Condensazione     AAB           1           R-B+BA-R  
AAAAABAB        Condensazione     AAA           2           R-BB+B-R  
AAABBA          Condensazione     AB            1           R-B+A-R   
AAAABAB         Condensazione     AAA           2           R-BB+B-R  
AABAAAAA        Cleavage          BA            1           R-A B-R   
ABAABBA         Cleavage          ABA           1           R-B AB-R  
BB              Condensazione     BB            1           R-A+A-R   
AAAAABA         Condensazione     AA            1           R-B+B-R   
BBAAB           Cleavage          BAA           2           R-AB B-R  
ABAABB          Cleavage          AA            1           R-B B-R   
BAAABBAA        Condensazione     BAA           2           R-AB+B-R  
AAABBABA        Cleavage          BAB           1           R-A BA-R  
AABBABBA        Condensazione     BB            1           R-A+A-R   
AAAABAAA        Cleavage          AABA          2           R-BB AB-R 
BAAABA          Condensazione     BAAA          3           R-ABB+B-R 
BAAABAB         Condensazione     AAAB          3           R-BBB+A-R 
AAAABBAA        Condensazione     AA            1           R-B+B-R   
ABAAABA         Cleavage          AAAB          2           R-BB BA-R 
ABAAAAAB        Condensazione     AA            1           R-B+B-R   
BBAAABA         Condensazione     BB            1           R-A+A-R   
BABABAAA        Condensazione     ABA           1           R-B+AB-R  
BABBABAA        Condensazione     BBA           2           R-AA+B-R  
BBABBBBA        Condensazione     BBB           2           R-AA+A-R  
BABBBB          Condensazione     BAB           2           R-AB+A-R  
BBBBA           Condensazione     BBB           1           R-A+AA-R  
BBABABBA        Condensazione     BA            1           R-A+B-R   
BABBBAA         Cleavage          ABB           1           R-B AA-R  
AABABBBA        Cleavage          BA            1           R-A B-R   
AAABBBAA        Condensazione     BAA           1           R-A+BB-R  
BABABBBA        Condensazione     BBB           1           R-A+AA-R  
BABBBAAA        Cleavage          ABBB          3           R-BAA A-R 
BBBABBB         Condensazione     BA            1           R-A+B-R   
AAAABAA         Condensazione     AA            1           R-B+B-R   
BBAAABAA        Cleavage          BBA           1           R-A AB-R  
BBBBBAB         Condensazione     BBA           1           R-A+AB-R  
BBBBBB          Cleavage          BBBB          1           R-A AAA-R 
AAABBBBB        Condensazione     BBBB          3           R-AAA+A-R 
BBBBBABB        Condensazione     BBBB          3           R-AAA+A-R 
AABBBBB         Cleavage          BBB           1           R-A AA-R  
BBBBBAAB        Cleavage          BBB           1           R-A AA-R  
